446435,3359002,Ahlerstedt,21702,Landkreis Stade,Niedersachsen
2409456,15087010,Ahlsdorf,06313,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
1273264,16069001,Ahlstädt,98553,Landkreis Hildburghausen,Thüringen
530915,6633001,Ahnatal,34292,Landkreis Kassel,Hessen
1145086,1059102,Ahneby,24996,Kreis Schleswig-Flensburg,Schleswig-Holstein
1797682,3351002,Ahnsbeck,29353,Landkreis Celle,Niedersachsen
1169362,3257001,Ahnsen,31708,Landkreis Schaumburg,Niedersachsen
959667,9278112,Aholfing,94345,Landkreis Straubing-Bogen,Bayern
959803,9271111,Aholming,94527,Landkreis Deggendorf,Bayern
401808,8128138,Ahorn,74744,Main-Tauber-Kreis,Baden-Württemberg
956872,9473112,Ahorn,96482,Landkreis Coburg,Bayern
1071012,9472111,Ahorntal,95491,Landkreis Bayreuth,Bayern
1021829,7131002,Ahrbrück,53506,Landkreis Ahrweiler,Rheinland-Pfalz
382442,1055001,Ahrensbök,23623,Kreis Ostholstein,Schleswig-Holstein
453746,1062001,Ahrensburg,22926,Kreis Stormarn,Schleswig-Holstein
1318349,12060005,Ahrensfelde,16356,Landkreis Barnim,Brandenburg
374204,13073001,Ahrenshagen-Daskow,18320,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
62422,11000000,Berlin,10781,,Berlin
1406816,1054002,Ahrenshöft,25853,Kreis Nordfriesland,Schleswig-Holstein
374244,13073002,Ahrenshoop,18347,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
1406979,1054003,Ahrenviöl,25885,Kreis Nordfriesland,Schleswig-Holstein
1406977,1054004,Ahrenviölfeld,24896,Kreis Nordfriesland,Schleswig-Holstein
1406977,1054004,Ahrenviölfeld,25885,Kreis Nordfriesland,Schleswig-Holstein
161897,9771113,Aichach,86551,Landkreis Aichach-Friedberg,Bayern
958122,9275111,Aicha vorm Wald,94529,Landkreis Passau,Bayern
2792688,8117002,Aichelberg,73101,Landkreis Göppingen,Baden-Württemberg
935172,9774166,Aichen,86479,Landkreis Günzburg,Bayern
943754,8325001,Aichhalden,78733,Landkreis Rottweil,Baden-Württemberg
2806735,8436003,Aichstetten,88317,Landkreis Ravensburg,Baden-Württemberg
2796466,8116081,Aichtal,72631,Landkreis Esslingen,Baden-Württemberg
2792901,8116076,Aichwald,73773,Landkreis Esslingen,Baden-Württemberg
958099,9275112,Aidenbach,94501,Landkreis Passau,Bayern
388769,9674111,Aidhausen,97491,Landkreis Haßberge,Bayern
722153,8115001,Aidlingen,71134,Landkreis Böblingen,Baden-Württemberg
956660,9273113,Aiglsbach,84089,Landkreis Kelheim,Bayern
535001,7143200,Ailertchen,56459,Westerwaldkreis,Rheinland-Pfalz
162453,9771114,Aindling,86447,Landkreis Aichach-Friedberg,Bayern
941761,9172111,Ainring,83404,Landkreis Berchtesgadener Land,Bayern
956819,9773111,Aislingen,89344,Landkreis Dillingen an der Donau,Bayern
959661,9278113,Aiterhofen,94330,Landkreis Straubing-Bogen,Bayern
1244183,8336004,Aitern,79677,Landkreis Lörrach,Baden-Württemberg
2806736,8436004,Aitrach,88319,Landkreis Ravensburg,Baden-Württemberg
447974,9777111,Aitrang,87648,Landkreis Ostallgäu,Bayern
1329407,15082005,Aken (Elbe),06385,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
1329407,15082005,Aken (Elbe),06386,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
1284770,15090003,Aland,39615,Landkreis Stendal,Sachsen-Anhalt
2186953,9187186,Albaching,83544,Landkreis Rosenheim,Bayern
2786234,8337002,Albbruck,79774,Landkreis Waldshut,Baden-Württemberg
423032,1051001,Albersdorf,25767,Kreis Dithmarschen,Schleswig-Holstein
2778355,16074001,Albersdorf,07646,Saale-Holzland-Kreis,Thüringen
2792707,8117003,Albershausen,73095,Landkreis Göppingen,Baden-Württemberg
1252774,7337001,Albersweiler,76857,Landkreis Südliche Weinstraße,Rheinland-Pfalz
283563,9675112,Albertshofen,97320,Landkreis Kitzingen,Bayern
1246578,7336002,Albessen,66871,Landkreis Kusel,Rheinland-Pfalz
1248583,7331001,Albig,55234,Landkreis Alzey-Worms,Rheinland-Pfalz
1254398,7333001,Albisheim (Pfrimm),67308,Donnersbergkreis,Rheinland-Pfalz
1471102,1053001,Albsfelde,23909,Kreis Herzogtum Lauenburg,Schleswig-Holstein
2779017,8417079,Albstadt,72458,Zollernalbkreis,Baden-Württemberg
2779017,8417079,Albstadt,72459,Zollernalbkreis,Baden-Württemberg
2779017,8417079,Albstadt,72461,Zollernalbkreis,Baden-Württemberg
158407,5358004,Aldenhoven,52457,Kreis Düren,Nordrhein-Westfalen
958104,9275114,Aldersbach,94501,Landkreis Passau,Bayern
1231975,8327002,Aldingen,78554,Landkreis Tuttlingen,Baden-Württemberg
962467,9779111,Alerheim,86733,Landkreis Donau-Ries,Bayern
1015138,9577113,Alesheim,91793,Landkreis Weißenburg-Gunzenhausen,Bayern
568238,9774111,Aletshausen,86480,Landkreis Günzburg,Bayern
1269727,7135001,Alf,56859,Landkreis Cochem-Zell,Rheinland-Pfalz
401623,8119001,Alfdorf,73553,Rems-Murr-Kreis,Baden-Württemberg
401623,8119001,Alfdorf,73655,Rems-Murr-Kreis,Baden-Württemberg
966167,9574111,Alfeld,91236,Landkreis Nürnberger Land,Bayern
1168905,3254002,Alfeld (Leine),31061,Landkreis Hildesheim,Niedersachsen
1821138,3459001,Alfhausen,49594,Landkreis Osnabrück,Niedersachsen
1269816,7135002,Alflen,56828,Landkreis Cochem-Zell,Rheinland-Pfalz
1079020,3357002,Alfstedt,27432,Landkreis Rotenburg (Wümme),Niedersachsen
172095,5382004,Alfter,53347,Rhein-Sieg-Kreis,Nordrhein-Westfalen
91859,3254003,Algermissen,31191,Landkreis Hildesheim,Niedersachsen
238961,6632001,Alheim,36211,Landkreis Hersfeld-Rotenburg,Hessen
546611,7137201,Alken,56332,Landkreis Mayen-Koblenz,Rheinland-Pfalz
396563,16070001,Alkersleben,99310,Ilm-Kreis,Thüringen
1428588,1054005,Alkersum,25938,Kreis Nordfriesland,Schleswig-Holstein
1245131,7134003,Allenbach,55758,Landkreis Birkenfeld,Rheinland-Pfalz
418611,6531001,Allendorf,35469,Landkreis Gießen,Hessen
539713,7141001,Allendorf,56370,Rhein-Lahn-Kreis,Rheinland-Pfalz
1273287,16073001,Allendorf,07426,Landkreis Saalfeld-Rudolstadt,Thüringen
443591,6635001,Allendorf (Eder),35108,Landkreis Waldeck-Frankenberg,Hessen
1244219,7133002,Allenfeld,55595,Landkreis Bad Kreuznach,Rheinland-Pfalz
2784841,8335002,Allensbach,78476,Landkreis Konstanz,Baden-Württemberg
158406,9576113,Allersberg,90584,Landkreis Roth,Bayern
30015,9178113,Allershausen,85391,Landkreis Freising,Bayern
2801344,8426005,Alleshausen,88422,Landkreis Biberach,Baden-Württemberg
933491,9179113,Alling,82239,Landkreis Fürstenfeldbruck,Bayern
445854,9772114,Allmannshofen,86695,Landkreis Augsburg,Bayern
2801315,8426006,Allmannsweiler,88348,Landkreis Biberach,Baden-Württemberg
2803631,8425002,Allmendingen,89604,Alb-Donau-Kreis,Baden-Württemberg
400939,8119003,Allmersbach im Tal,71573,Rems-Murr-Kreis,Baden-Württemberg
2397385,15087015,Allstedt,06542,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
1567454,1054006,Almdorf,25821,Kreis Nordfriesland,Schleswig-Holstein
418894,7132001,Almersbach,57610,Landkreis Altenkirchen,Rheinland-Pfalz
58618,5170004,Alpen,46519,Kreis Wesel,Nordrhein-Westfalen
453150,7143202,Alpenrod,57642,Westerwaldkreis,Rheinland-Pfalz
453150,7143202,Alpenrod,57647,Westerwaldkreis,Rheinland-Pfalz
2411295,16068001,Alperstedt,99195,Landkreis Sömmerda,Thüringen
935834,8237002,Alpirsbach,72275,Landkreis Freudenstadt,Baden-Württemberg
532368,7143001,Alsbach,56237,Westerwaldkreis,Rheinland-Pfalz
452415,6432001,Alsbach-Hähnlein,64665,Landkreis Darmstadt-Dieburg,Hessen
157993,5334004,Alsdorf,52477,Städteregion Aachen,Nordrhein-Westfalen
422316,7132002,Alsdorf,57518,Landkreis Altenkirchen,Rheinland-Pfalz
1163504,7232002,Alsdorf,54668,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
1253873,7333003,Alsenz,67821,Donnersbergkreis,Rheinland-Pfalz
418327,6535001,Alsfeld,36304,Vogelsbergkreis,Hessen
1248686,7331002,Alsheim,67577,Landkreis Alzey-Worms,Rheinland-Pfalz
1332300,15089005,Alsleben,06425,Salzlandkreis,Sachsen-Anhalt
2792885,8116004,Altbach,73776,Landkreis Esslingen,Baden-Württemberg
1157542,1059001,Alt Bennebek,24848,Kreis Schleswig-Flensburg,Schleswig-Holstein
394333,13072002,Alt Bukow,18233,Landkreis Rostock,Mecklenburg-Vorpommern
1322902,12066008,Altdöbern,03229,Landkreis Oberspreewald-Lausitz,Brandenburg
190875,9274113,Altdorf,84032,Landkreis Landshut,Bayern
722061,8115002,Altdorf,71155,Landkreis Böblingen,Baden-Württemberg
902680,8116005,Altdorf,72655,Landkreis Esslingen,Baden-Württemberg
1252492,7337002,Altdorf,67482,Landkreis Südliche Weinstraße,Rheinland-Pfalz
966164,9574112,Altdorf bei Nürnberg,90518,Landkreis Nürnberger Land,Bayern
548573,1058003,Alt Duvenstedt,24782,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
548573,1058003,Alt Duvenstedt,24791,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
